Public Food Key,Classification,Food Name,"Energy with dietary fibre, equated 
(kJ)","Moisture (water) 
(g)","Protein 
(g)","Nitrogen 
(g)","Fat, total 
(g)","Total dietary fibre 
(g)","Glucose 
(g)",Added sugars (g),"Free sugars 
(g)","Starch 
(g)","Available carbohydrate, without sugar alcohols 
(g)","Available carbohydrate, with sugar alcohols 
(g)","Calcium (Ca) 
(mg)","Copper (Cu) 
(mg)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Magnesium (Mg) 
(mg)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Sodium (Na) 
(mg)","Zinc (Zn) 
(mg)","Cobalamin (B12) 
(ug)","Folic acid 
(ug)","Vitamin C 
(mg)","Vitamin E 
(mg)","Total saturated fatty acids, equated 
(g)","Caffeine 
(mg)","Cholesterol 
(mg)"
F002258,31302,"Cardamom seed, dried, ground","1,236",8.3,10.8,1.72,6.7,28,,0,0,30,34.4,34.4,383,,0,13.97,229,178,"1,119",18,7.47,0,0,21,2.85,2.2,0,0
F002893,31302,"Chilli (chili), dried, ground","1,280",10.8,13.4,2.14,14.3,34.8,,0,0,7.7,14.9,14.9,330,,2.3,17.3,149,300,"1,950","2,867",4.3,0,0,1,38.14,2.06,0,0
F002963,31302,"Cinnamon, dried, ground","1,004",10.6,4,0.64,1.2,53.1,,0,0,25.3,27.5,27.5,"1,002",,0.1,8.32,60,64,431,10,1.83,0,0,4,2.32,0.62,0,0
F002970,31302,"Cloves, dried, ground","1,389",9.9,6,0.96,13,33.9,,0,0,29.2,31.6,31.6,632,,50.7,11.83,259,104,"1,020",277,2.32,0,0,0,8.82,5.49,0,0
F003190,31302,"Coriander seed, dried, ground","1,344",8.9,12.4,1.98,17.8,41.9,,0,0,6.1,8.4,8.4,709,,2.3,16.32,330,409,"1,267",35,4.7,0,0,21,0.91,1.03,0,0
F003327,31302,"Cumin (cummin) seed, dried, ground","1,782",8.1,17.8,2.85,22.3,10.5,,0,0,31.5,33.7,33.7,931,,13.6,66.36,366,499,"1,788",168,4.8,0,0,8,3.33,1.73,0,0
F003337,31302,Curry powder,"1,231",8.8,14.3,2.29,14,53.2,,0,0,0,2.8,2.8,525,,0,19.1,255,367,"1,170",52,4.7,0,0,1,25.24,1.64,0,0
F003821,31302,"Fenugreek seed, dried","1,080",8.8,23,3.68,6.4,47.6,,0,0,3.7,4.2,4.2,176,,2.3,33.53,191,296,770,67,2.5,0,0,3,0.02,1.03,0,0
F004210,31302,"Ginger, dried, ground","1,397",9.9,9,1.44,4.2,14.1,,0,0,54.1,57.5,57.5,114,,12.4,19.8,214,168,"1,320",27,3.64,0,0,1,0,2.2,0,0
F005972,31302,Mustard powder,"2,289",4.3,29.4,4.71,39.5,5,0.1,0,0,12.2,17.2,17.2,160,0.41,0,7,310,730,650,3,4.9,0,0,7,5.07,2,0,0
F006118,31302,"Nutmeg, dried, ground","2,090",6.2,5.8,0.93,36.3,20.8,,0,0,25.5,28.5,28.5,184,,0,3.04,183,213,350,16,2.15,0,0,3,0,30.51,0,0
F006281,31302,"Oregano, dried","1,096",9.9,9,1.44,4.3,42.5,,0,0,22.3,26.4,26.4,"1,597",,0,36.8,270,148,"1,260",25,2.69,0,0,2,18.26,1.46,0,0
F006316,31302,"Paprika, dry powder","1,311",11.2,14.1,2.26,12.9,34.9,,0,0,8.8,19.1,19.1,229,,0,21.14,178,314,"2,280",68,4.33,0,0,1,29.1,1.9,0,0
F006618,31302,"Pepper, black, ground","1,156",12.5,10.4,1.66,3.3,25.3,0.2,0,0,38,38.6,38.6,443,,6,9.71,171,158,"1,329",20,1.19,0,0,0,1.04,1.39,0,0
F007715,31302,"Rosemary, dried","1,314",9.3,4.9,0.78,15.2,42.6,,0,0,0.8,20.4,20.4,"1,280",,2.3,29.25,220,70,955,50,3.23,0,0,61,7.48,7.05,0,0
F007726,31302,"Sage, dried","1,320",8,10.6,1.7,12.8,40.3,,0,0,18.7,20.4,20.4,"1,652",,1.8,28.12,428,91,"1,070",11,4.7,0,0,32,7.48,7.03,0,0
F009160,31302,"Thyme, dried, ground","1,182",7.8,9.1,1.46,7.4,37,,0,0,25.2,26.9,26.9,"1,890",,2.3,123.6,220,201,814,55,6.18,0,0,50,7.48,3.7,0,0
F009335,31302,"Turmeric, dried, ground","1,219",12.8,9.7,1.55,3.2,22.7,,0,0,41.2,44.4,44.4,168,,2.3,55,208,299,"2,080",27,4.5,0,0,1,4.43,1.88,0,0
F007870,31301,"Salt substitute, potassium chloride",0,0.2,0,0,0,0,0,0,0,0,0,0,34,,19.9,0,1,3,"50,009",33,0.1,0,0,0,0,0,0,0
F007878,31301,"Salt, table, iodised",0,0.2,0,0,0,0,0,0,0,0,0,0,34,,"4,400.00",0,1,3,98,"38,168",0.1,0,0,0,0,0,0,0
F007879,31301,"Salt, table, non-iodised",0,0.2,0,0,0,0,0,0,0,0,0,0,34,,19.9,0,1,3,17,"38,178",0.1,0,0,0,0,0,0,0
F008933,31303,"Stock, dry powder or cube",900,3.6,11.3,1.81,8.9,0,0.1,2.8,2.8,18.2,22.5,22.5,71,0,44,2.5,25,200,250,"18,400",0.4,0,0,0,0,4.38,0,0
F009072,31303,"Taco seasoning mix, chilli-based","1,010",6.8,5.9,0.94,4.1,9.9,1.1,11.2,11.2,20.5,39.7,39.7,240,0.34,6,6.3,76,200,700,"9,350",0.91,0,0,0,3.7,1.09,0,0
F000247,31501,"Baking powder, dry powder",364,4,0.8,0.14,0.3,0.4,,0,0,19.8,19.8,19.8,6,,1,2.02,9,29,"8,267","6,868",0.36,0,0,0,0.14,0.05,0,0
F000248,31501,"Baking soda (bicarbonate), dry powder",0,0.2,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,"27,360",0,0,0,0,0,0,0,0
F003250,31501,"Cream of tartar, dry powder",2,1.7,0,0,0,0.2,,0,0,0,0,0,8,,0,3.72,2,5,"16,500",52,0.42,0,0,0,0,0,0,0
F004196,31502,"Gelatine, all types","1,449",11,84.4,15.2,0.4,0,0,0,0,0,0,0,250,0.07,0,2.1,15,32,7,330,0.4,0,0,0,0,0.19,0,0
F004220,12103,"Gluten, from wheat (vital wheat gluten)","1,507",8.2,75.2,12.89,0,0.6,,0,0,13.2,13.2,13.2,142,,3,5.2,25,260,100,29,0.85,0,0,0,0,0,0,0
F008831,24102,"Starch, potato","1,332",19.1,0,0,0.5,5.9,0,0,0,74.5,74.5,74.5,14,0,0,0.3,5,102,43,9,0.1,0,0,0,0.25,0.18,0,0
F009351,31401,"Vanilla, artificial or imitation",231,85.6,0,0,0,0,,0,0,0,14.4,14.4,3,,0.2,0.05,1,0,0,3,0.01,0,0,0,0,0,0,0
F009350,31401,Vanilla bean extract,"1,203",52.6,0.1,0.01,0.1,0,,0,0,0,12.6,12.6,11,,0.2,0.12,12,6,148,9,0.11,0,0,0,0,0.02,0,0
F009606,31101,"Yeast, dry powder","1,126",6,36.4,5.82,5,26.9,0,0,0,6.3,6.3,6.3,18,0.57,5.5,3.5,95,860,"1,470",170,18,0,0,0,0,0.75,0,0
F000996,29101,"Beer, high alcohol (5% v/v & above)",174,91.9,0.5,0.08,0,0,0,0,0,0,2.1,2.1,4,0.003,0,0.01,9,23,55,4,0,0,0,0,0,0,0,0
F000994,29101,"Beer, full strength (alcohol 4-4.9% v/v)",152,93,0.4,0.06,0,0,0,0,0,0,2.3,2.3,4,0.002,0,0,6,16,36,4,0,0,0,0,0,0,0,0
F000995,29101,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",126,94.6,0.3,0.05,0,0,0,0,0,0,1,1,3,0.001,0,0.01,5,15,28,4,0,0,0,0,0,0,0,0
F001006,29102,"Beer, mid-strength (alcohol 3-3.9% v/v)",128,94.1,0.3,0.05,0,0,0,0,0,0,2.2,2.2,4,0.002,0,0,5,12,30,3,0,0,0,0,0,0,0,0
F001004,29102,"Beer, light (alcohol 1-2.9% v/v)",100,94.5,0.2,0.03,0,0,0,0,0,0,2.2,2.2,3,0.001,0,0,5,12,27,3,0,0,0,0,0,0,0,0
